ward_no,ward_name,zone,ndvi_change,lst_change_c,heat_risk_score,tree_prob_first,tree_prob_last,tree_prob_change
115,BALAJI NAGAR,KUKATPALLY ZONE,-0.0853994088243091,1.5175497156403708,2.371543803883462,0.15637032343909704,0.1603467791393454,0.003976455700248349
99,VENGALRAO NAGAR,SERILINGAMPALLY ZONE,-0.049887491772029,1.4046900781090272,1.9035649958293184,0.05003872576897969,0.04899518259075784,-0.0010435431782218549
116,ALLAPUR,KUKATPALLY ZONE,-0.0652812165514747,1.2327119590277746,1.8855241245425216,0.05539062557588995,0.06695088568547744,0.011560260109587488
68,TOLICHOWKI,KHAIRATHABAD ZONE,-0.087587737538115,0.8200150282092764,1.6958924035904266,0.0925986629455931,0.11032000329399683,0.017721340348403725
112,RAMACHANDRAPURAM,SERILINGAMPALLY ZONE,-0.0735675636982775,0.8696219265642853,1.6052975635470612,0.0576357782403296,0.06246721385204145,0.00483143561171185
92,VENKATESHWARA COLONY,KHAIRATHABAD ZONE,-0.0648174107079647,0.9206497250325328,1.5688238321121806,0.13893980021980157,0.131491456949332,-0.00744834327046956
96,YOUSUFGUDA,SERILINGAMPALLY ZONE,-0.0343875549142279,1.1358913848430987,1.4797669339853776,0.043685677336092396,0.06802154297935468,0.02433586564326229
120,BALA NAGAR,KUKATPALLY ZONE,-0.0706166426870313,0.7500653951215881,1.456231821991901,0.21875349622297768,0.22055161369110537,0.0017981174681276912
118,FATEH NAGAR,KUKATPALLY ZONE,-0.0341188056875493,1.0346426164162494,1.3758306732917434,0.03910375694506677,0.04177745521016002,0.002673698265093248
67,GOLCONDA,KHAIRATHABAD ZONE,-0.0611376118454888,0.7278307047344441,1.3392068231893322,0.08083007121127674,0.1016347424108022,0.020804671199525462
113,PATANCHERUVU,SERILINGAMPALLY ZONE,-0.0972182120951004,0.3335450651667315,1.3057271861177355,0.10893429337686891,0.09636731107601776,-0.012566982300851154
66,LUNGER HOUSE,KHAIRATHABAD ZONE,-0.0786680481648463,0.4409639944722983,1.2276444761207612,0.154182248969721,0.17894297699047304,0.02476072802075205
69,NANALNAGAR,KHAIRATHABAD ZONE,-0.0675110511265618,0.501804200332046,1.1769147115976648,0.11812193088306386,0.15399675636971183,0.03587482548664797
110,CHANDANAGAR,SERILINGAMPALLY ZONE,-0.0584885787535837,0.5680597794500457,1.1529455669858837,0.06580169797616026,0.07053233844394341,0.004730640467783154
124,ALLYWN COLONY,KUKATPALLY ZONE,-0.0583358010114886,0.533397204485496,1.116755214600382,0.04117045606846906,0.036761212532407,-0.004409243536062056
101,ERRAGADDA,SERILINGAMPALLY ZONE,-0.0358005474115206,0.7390983222332821,1.097103796348489,0.04701822868189652,0.047560367995728284,0.0005421393138317632
108,MIYAPUR,SERILINGAMPALLY ZONE,-0.0689037321902092,0.3950273135480842,1.084064635450177,0.08273843772025917,0.08848576596793722,0.005747328247678055
95,JUBILEE HILLS,KHAIRATHABAD ZONE,-0.0466219248098286,0.589255766088165,1.055475014186452,0.04190116541062544,0.04866892358746307,0.006767758176837627
149,BEGUMPET,SECUNDERABAD ZONE,-0.0443992917566695,0.5763418776899414,1.0203347952566373,0.07559217295746215,0.08803030315792526,0.01243813020046311
107,MADHAPUR,SERILINGAMPALLY ZONE,-0.0807850664443436,0.201195077305023,1.009045741748459,0.05212008507266765,0.05407824470330001,0.00195815963063236
59,MAILARDEVPALLY,CHARMINAR ZONE,-0.0846661229800448,0.1279055170014515,0.9745667468018996,0.11162971043064751,0.09716131270624433,-0.014468397724403184
117,MOOSAPET,KUKATPALLY ZONE,-0.0199079320082379,0.7486941923904524,0.9477735124728316,0.03351537770743737,0.035758950979758494,0.0022435732723211227
74,AHMED NAGAR,KHAIRATHABAD ZONE,-0.051500262441284,0.4282933637921431,0.9432959882049832,0.09148973869559335,0.09558879529019997,0.004099056594606618
1,KAPRA,L.B.NAGAR ZONE,-0.066259061944133,0.223951223922846,0.886541843364177,0.05514506947256335,0.046877716445548216,-0.008267353027015131
125,GAJULARAMARAM,KUKATPALLY ZONE,-0.0603568324445772,0.2421308053178137,0.8456991297635866,0.06194267520136279,0.06292297066491259,0.0009802954635498018
98,AMEERPET,KHAIRATHABAD ZONE,-0.0278695445796161,0.4956825463844723,0.7743779921806333,0.04501178109003142,0.04571694954944074,0.0007051684594093222
61,ATTAPUR,CHARMINAR ZONE,-0.0751399002649787,0.0022844655044522,0.7536834681542401,0.04263901574042526,0.04128543137526682,-0.0013535843651584362
10,UPPAL,L.B.NAGAR ZONE,-0.1158935071477371,-0.5055289833746883,0.6534060881026835,0.07206060375733755,0.06579111584640535,-0.006269487910932209
70,MEHDIPATNAM,KHAIRATHABAD ZONE,-0.0289839888453729,0.3418062101961894,0.6316460986499194,0.0313817982387032,0.03317734032877389,0.0017955420900706912
42,BARKAS,CHARMINAR ZONE,-0.0618785632246391,0.0074811885867589,0.6262668208331509,0.05780128030196438,0.08165731414130291,0.023856033839338528
55,RAMNASTPURA,CHARMINAR ZONE,0.0215374411410826,0.7919617493186166,0.5765873379077897,0.18036010540237338,0.18326576620639448,0.002905660804021104
94,SHAIKPET,KHAIRATHABAD ZONE,-0.044794786675537,0.0769116643120568,0.5248595310674269,0.04519138500753752,0.04692851660928518,0.0017371316017476615
41,KANCHANBAGH,CHARMINAR ZONE,-0.1133590879124726,-0.6222010126348962,0.5113898664898304,0.14155898791249302,0.1405364557270372,-0.00102253218545581
93,BANJARA HILLS,KHAIRATHABAD ZONE,-0.0321866740145657,0.1688164685063924,0.4906832086520503,0.03585245296410821,0.04490400676776197,0.009051553803653759
102,RAHAMATH NAGAR,SERILINGAMPALLY ZONE,-0.0231973442897591,0.2168792104002648,0.4488526532978568,0.03324701595532805,0.04459387490494472,0.011346858949616671
129,SURARAM,KUKATPALLY ZONE,-0.0649660589166665,-0.2256228168459699,0.4240377723206951,0.16558345398577823,0.16253500913775362,-0.0030484448480246062
5,MALLAPUR,L.B.NAGAR ZONE,-0.0865607662349881,-0.4494531522524099,0.4161545100974719,0.0980475529654048,0.10685889464849961,0.008811341683094817
105,GACHIBOWLI,SERILINGAMPALLY ZONE,-0.0998965163165422,-0.610302937487333,0.3886622256780898,0.14113311075492513,0.13171492552635194,-0.009418185228573184
121,KUKATPALLY,KUKATPALLY ZONE,-0.0403114385099714,-0.0555621980070171,0.3475521870926969,0.033587346145635855,0.032582808207786584,-0.0010045379378492703
57,SULEMAN NAGAR,CHARMINAR ZONE,-0.0568954212378265,-0.2338767788287654,0.3350774335495005,0.07099397990925602,0.08102539696591678,0.01003141705666076
60,RAJENDRANAGAR,CHARMINAR ZONE,-0.0917288915663967,-0.602818354196188,0.3144705614677792,0.14180105007040378,0.14125174069357863,-0.0005493093768251522
114,K.P.H.B.COLONY,KUKATPALLY ZONE,-0.0433331227806076,-0.1346719962602165,0.2986592315458595,0.05237550982612015,0.07313327968065152,0.020757769854531365
126,JAGADGIRI GUTTA,KUKATPALLY ZONE,-0.0343809854793308,-0.0491214639163501,0.294688390876958,0.05640305839621761,0.046847237557913084,-0.00955582083830453
123,HYDER NAGAR,KUKATPALLY ZONE,-0.0361503486909816,-0.0880381402633361,0.2734653466464799,0.04906138298080358,0.05138141603183638,0.002320033051032802
58,SHASTRIPURAM,CHARMINAR ZONE,-0.0633789803923151,-0.4129669603187693,0.2208228436043816,0.03824281696464899,0.04009449163876047,0.0018516746741114795
127,RANGAREDDY NAGAR,KUKATPALLY ZONE,-0.0114521731432536,0.1021406276400327,0.2166623590725688,0.06060568692725292,0.08685274979199666,0.026247062864743737
71,GUDIMALKAPUR,KHAIRATHABAD ZONE,-0.0409397711959133,-0.2019226124438162,0.2074750995153167,0.04152632938310038,0.05294853750147103,0.01142220811837065
100,SANATH NAGAR,KHAIRATHABAD ZONE,-0.0262722507966806,-0.0625299087475497,0.2001925992192563,0.03875374503469987,0.04275652739680491,0.004002782362105044
104,KONDAPUR,SERILINGAMPALLY ZONE,-0.0720890870327793,-0.567032736994463,0.1538581333333308,0.07203299222824876,0.0651582727957305,-0.006874719432518259
122,VIVEKANANDA NAGAR COLONY,KUKATPALLY ZONE,-0.0161076571016537,-0.0246620604445979,0.1364145105719399,0.02987377596135973,0.031772943577741394,0.0018991676163816647
139,EAST ANAND BAGH,SECUNDERABAD ZONE,-0.0681906002204646,-0.5550892094619684,0.1268167927426777,0.08394801009088698,0.08346031731945103,-0.0004876927714359547
3,CHERLAPALLY,L.B.NAGAR ZONE,-0.0805082256525307,-0.690508235954276,0.114574020571031,0.09577121802259174,0.09879841724682799,0.003027199224236249
8,HABSIGUDA,L.B.NAGAR ZONE,-0.087717402437339,-0.7654459553218373,0.1117280690515526,0.1280375171211351,0.16479807694904164,0.03676055982790655
2,DR.A.S.RAO NAGAR,L.B.NAGAR ZONE,-0.0607530601485271,-0.5042638542218896,0.1032667472633823,0.05913750126234875,0.07259450206139757,0.013457000799048824
144,METTUGUDA,SECUNDERABAD ZONE,-0.0607220366991417,-0.6287555441236208,-0.0215351771322035,0.0626346841277326,0.07613975918657245,0.013505075058839855
83,AMBERPET,SECUNDERABAD ZONE,-0.0914075769802693,-0.9463283482859096,-0.0322525784832159,0.07845055882997948,0.0896611193622209,0.011210560532241426
