year,ward_no,ward_name,mean_tree_prob
2016,90,KAVADIGUDA,0.07176853390736045
2016,93,BANJARA HILLS,0.03585245296410821
2016,91,KHAIRTABAD,0.0429506795866524
2016,103,BORABANDA,0.03073608418653914
2016,97,SOMAJIGUDA,0.034692805800269594
2016,98,AMEERPET,0.04501178109003142
2016,101,ERRAGADDA,0.04701822868189652
2016,100,SANATH NAGAR,0.03875374503469987
2016,99,VENGALRAO NAGAR,0.05003872576897969
2016,102,RAHAMATH NAGAR,0.03324701595532805
2016,6,NACHARAM,0.07351617283815888
2016,84,BAGH AMBERPET,0.038838155427732335
2016,81,NALLAKUNTA,0.032797819051010965
2016,80,KACHIGUDA(Barkathpura),0.031898135168073
2016,82,GOLNAKA,0.05026830689102263
2016,83,AMBERPET,0.07845055882997948
2016,51,GOSHA MAHAL,0.04079940775231653
2016,68,TOLICHOWKI,0.0925986629455931
2016,67,GOLCONDA,0.08083007121127674
2016,77,JAMBAGH(Nampally),0.03155161238579471
2016,63,MANGALHAT,0.03538112771912356
2016,71,GUDIMALKAPUR,0.04152632938310038
2016,70,MEHDIPATNAM,0.0313817982387032
2016,76,MALLEPALLY,0.029263963368401782
2016,62,ZIAGUDA,0.04018468370773671
2016,72,ASIF NAGAR,0.029467814293524814
2016,73,VIJAYANAGAR COLONY,0.03323908587082847
2016,5,MALLAPUR,0.0980475529654048
2016,3,CHERLAPALLY,0.09577121802259174
2016,96,YOUSUFGUDA,0.043685677336092396
2016,95,JUBILEE HILLS,0.04190116541062544
2016,50,BEGUM BAZAR,0.037588256764201265
2016,78,GUNFOUNDRY(Abids),0.037858507869230874
2016,65,KARWAN,0.03968795521315513
2016,2,DR.A.S.RAO NAGAR,0.05913750126234875
2016,4,MEERPET H.B.COLONY,0.10425852107404524
2016,1,KAPRA,0.05514506947256335
2016,94,SHAIKPET,0.04519138500753752
2016,64,DATTATHREYA NAGAR,0.029715260517958683
2016,69,NANALNAGAR,0.11812193088306386
2017,127,RANGAREDDY NAGAR,0.07027295837386843
2017,119,OLD BOWENPALLY,0.05064663126430716
2017,145,SEETHAPHALMANDI,0.030073699769797315
2017,146,BOUDHA NAGAR,0.03118361864064761
2017,147,BANSILALPET,0.03833158102372921
2017,144,METTUGUDA,0.07666685259739885
2017,148,RAMGOPALPET,0.03636475343930591
2017,150,MONDA  MARKET,0.03271611066921762
2017,136,NEREDMET,0.06566094236375032
2017,141,GOUTHAM NAGAR,0.03493218960366234
2017,140,MALKAJGIRI,0.03687157333820375
2017,139,EAST ANAND BAGH,0.10156238076559646
2017,142,ADDAGUTTA,0.05558402397080352
2017,137,VINAYAK NAGAR,0.035532906598844484
2017,134,ALWAL,0.044923807524343315
2017,132,JEEDIMETLA,0.1092622019532117
2017,CONTONMENT AREA,,0.07541731726234109
2017,120,BALA NAGAR,0.23485713893456486
2017,130,SUBHASH NAGAR,0.05009275051526831
2017,131,QUTHBULLAPUR,0.14184975803848607
2017,121,KUKATPALLY,0.03609950028203625
2017,125,GAJULARAMARAM,0.07813016493577002
2017,124,ALLYWN COLONY,0.041470551184991225
2017,114,K.P.H.B.COLONY,0.062361626702354164
2017,116,ALLAPUR,0.0652740324541284
2017,115,BALAJI NAGAR,0.1766299653814681
2017,117,MOOSAPET,0.035436266742890334
2017,105,GACHIBOWLI,0.15858995331328207
2017,110,CHANDANAGAR,0.07246171616061974
2017,111,BHARATHI NAGAR,0.040657061890928825
2017,106,SERILINGAMPALLY,0.10357097996201131
2017,104,KONDAPUR,0.07296678802206016
2017,109,HAFEEZPET,0.04306243751194036
2017,118,FATEH NAGAR,0.04088075840061001
2017,143,TARNAKA,0.07438033145315928
2017,8,HABSIGUDA,0.16358878322534023
2017,40,RIYASATNAGAR,0.03743976063044567
2017,36,LALITHABAGH,0.039183700499981454
2017,34,TALABCHANCHALAM,0.030203086311216175
2017,22,CHAITHANYAPURI,0.04834807592673064
2017,37,KURMAGUDA,0.030691296940248698
2017,31,REIN BAZAR,0.030093818872904323
2017,29,CHAWANI,0.039933700228530135
2017,38,I.S.SADAN,0.04134309099419411
2017,18,LINGOJIGUDA,0.03920468068848923
2017,16,HASTHINAPURAM,0.03646503510137478
2017,20,R.K.PURAM,0.03286411141558981
2017,19,SAROORNAGAR,0.04130219252106296
2017,14,B.N.REDDY NAGAR,0.11961816183665536
2017,12,MANSOORABAD,0.13231302129133127
2017,21,KOTHAPET,0.03783263736551583
2017,11,NAGOLE,0.17577973795293944
2017,10,UPPAL,0.08554641933755876
2017,GRAMPANCHAYAT PEERZADI GUDA,,0.03178899828208616
2017,KALAVANCHA GRAM PANCHAYATH,,0.0354701049379594
2017,13,HAYATHNAGAR,0.07831998928390325
