ward_no,ward_name,zone,ndvi_change,lst_change_c,heat_risk_score
4,MEERPET H.B.COLONY,L.B.NAGAR ZONE,-0.0902662424117156,-0.9964496998482844,-0.09378727573112833
142,ADDAGUTTA,SECUNDERABAD ZONE,-0.05157986218217889,-0.6237553265986691,-0.10795670477688013
46,FALAKNUMA,CHARMINAR ZONE,-0.0461738651055439,-0.5703161395090959,-0.10857748845365689
103,BORABANDA,SERILINGAMPALLY ZONE,-0.01756752529870409,-0.29529535794038964,-0.11962010495334874
119,OLD BOWENPALLY,KUKATPALLY ZONE,-0.016914298184658283,-0.3341806217675085,-0.16503763992092568
131,QUTHBULLAPUR,KUKATPALLY ZONE,-0.0427875074904073,-0.5953248651896814,-0.1674497902856084
7,CHILUKA NAGAR,L.B.NAGAR ZONE,-0.0739963011872947,-0.9344976418922712,-0.19453463001932425
65,KARWAN,KHAIRATHABAD ZONE,-0.047245418855881086,-0.7262115221980565,-0.2537573336392457
73,VIJAYANAGAR COLONY,KHAIRATHABAD ZONE,-0.019318019713684492,-0.45584611076231596,-0.26266591362547104
136,NEREDMET,SECUNDERABAD ZONE,-0.04858054103708381,-0.7609302988489404,-0.27512488847810224
6,NACHARAM,L.B.NAGAR ZONE,-0.038872655899490016,-0.6664039921364804,-0.2776774331415802
26,OLD MALAKPET,CHARMINAR ZONE,-0.04981299441424822,-0.8097127964940185,-0.3115828523515363
109,HAFEEZPET,SERILINGAMPALLY ZONE,-0.0598648834576493,-0.9424476294071837,-0.34379879483069076
45,JANGAMMET,CHARMINAR ZONE,-0.04314979042997688,-0.8682884198322398,-0.436790515532471
135,VENKATAPURAM,KUKATPALLY ZONE,-0.046701752448323114,-0.9342430957281067,-0.46722557124487557
47,NAWABSAHEBKUNTA,CHARMINAR ZONE,-0.021751391295280795,-0.7675766717792527,-0.5500627588264447
53,DOODBOWLI,CHARMINAR ZONE,-0.035831992100516796,-0.9215559462630196,-0.5632360252578517
76,MALLEPALLY,KHAIRATHABAD ZONE,-0.013050501582140203,-0.69990691096055,-0.569401895139148
62,ZIAGUDA,KHAIRATHABAD ZONE,-0.0367273803238205,-0.9659901225802727,-0.5987163193420677
72,ASIF NAGAR,KHAIRATHABAD ZONE,-0.023889809965500497,-0.8492978199623806,-0.6103997203073757
97,SOMAJIGUDA,KHAIRATHABAD ZONE,-0.022192445102586514,-0.8347436233710965,-0.6128191723452314
138,MOULA-ALI,SECUNDERABAD ZONE,-0.045450493497040306,-1.098492811691429,-0.6439878767210259
63,MANGALHAT,KHAIRATHABAD ZONE,-0.043748045791173196,-1.2260870277022775,-0.7886065697905456
91,KHAIRTABAD,KHAIRATHABAD ZONE,-0.010036647625015598,-0.9359062644731324,-0.8355397882229765
111,BHARATHI NAGAR,SERILINGAMPALLY ZONE,-0.034399103325046504,-1.2087962959992282,-0.8648052627487632
87,RAMNAGAR,SECUNDERABAD ZONE,-0.031898966400985704,-1.1859345296675627,-0.8669448656577057
128,CHINTAL,KUKATPALLY ZONE,-0.015310616981113218,-1.0207072958236552,-0.8676011260125229
28,AZAMPURA,CHARMINAR ZONE,-0.03919956285306708,-1.2823895403395937,-0.8903939118089229
51,GOSHA MAHAL,KHAIRATHABAD ZONE,-0.0450004496648153,-1.4461060215201726,-0.9961015248720196
48,SHALIBANDA,CHARMINAR ZONE,-0.024551366625556,-1.2625448719032306,-1.0170312056476707
137,VINAYAK NAGAR,SECUNDERABAD ZONE,-0.017971710783613704,-1.2273144820967161,-1.047597374260579
134,ALWAL,KUKATPALLY ZONE,-0.027710584807582594,-1.3265454861785742,-1.0494396381027482
150,MONDA  MARKET,SECUNDERABAD ZONE,-0.018133564531278706,-1.238349803525324,-1.057014158212537
54,JAHANUMA,CHARMINAR ZONE,-0.02512601734664381,-1.3114859341295286,-1.0602257606630905
75,RED HILLS,KHAIRATHABAD ZONE,-0.02559721426516348,-1.354425119253385,-1.0984529766017501
84,BAGH AMBERPET,SECUNDERABAD ZONE,-0.045716094114213596,-1.570429618264292,-1.113268677122156
140,MALKAJGIRI,SECUNDERABAD ZONE,-0.02342493589697528,-1.347661765672818,-1.1134124067030653
33,MOGHALPURA,CHARMINAR ZONE,-0.02392970028996759,-1.3586590768122093,-1.1193620739125334
38,I.S.SADAN,CHARMINAR ZONE,-0.030574437845107508,-1.4459241201350537,-1.1401797416839785
