ward_no,tree_prob_first,tree_prob_last,tree_prob_change
4,0.10425852107404524,0.06864693984751379,-0.03561158122653145
9,0.07702308336318978,0.060165916400967,-0.016857166962222773
59,0.11162971043064751,0.09716131270624433,-0.014468397724403184
106,0.09645712621792102,0.08254679584005369,-0.013910330377867333
113,0.10893429337686891,0.09636731107601776,-0.012566982300851154
13,0.06715959205735311,0.05494378956502448,-0.012215802492328634
11,0.15214478576316245,0.14051612525588147,-0.01162866050728098
126,0.05640305839621761,0.046847237557913084,-0.00955582083830453
105,0.14113311075492513,0.13171492552635194,-0.009418185228573184
12,0.10866010526017601,0.10028018798149929,-0.008379917278676721
1,0.05514506947256335,0.046877716445548216,-0.008267353027015131
14,0.09135863269058339,0.08357601050470642,-0.0077826221858769695
92,0.13893980021980157,0.131491456949332,-0.00744834327046956
104,0.07203299222824876,0.0651582727957305,-0.006874719432518259
10,0.07206060375733755,0.06579111584640535,-0.006269487910932209
109,0.04293910770291408,0.03820886333487797,-0.00473024436803611
124,0.04117045606846906,0.036761212532407,-0.004409243536062056
132,0.07492416763875802,0.0707828094204574,-0.004141358218300625
129,0.16558345398577823,0.16253500913775362,-0.0030484448480246062
143,0.07051868757962175,0.06770046829496079,-0.0028182192846609583
119,0.03932131893683181,0.03665695655897262,-0.002664362377859185
18,0.03346258156080568,0.030867075441312033,-0.002595506119493645
65,0.03968795521315513,0.03747165335826802,-0.0022163018548871094
15,0.0464220583707342,0.04458844491594664,-0.0018336134547875596
61,0.04263901574042526,0.04128543137526682,-0.0013535843651584362
99,0.05003872576897969,0.04899518259075784,-0.0010435431782218549
41,0.14155898791249302,0.1405364557270372,-0.00102253218545581
121,0.033587346145635855,0.032582808207786584,-0.0010045379378492703
60,0.14180105007040378,0.14125174069357863,-0.0005493093768251522
16,0.03216858697448883,0.0316674544655704,-0.0005011325089184296
139,0.08394801009088698,0.08346031731945103,-0.0004876927714359547
51,0.04079940775231653,0.04086550705307271,6.609930075617693e-05
52,0.030925097472913457,0.031011270389219636,8.617291630617918e-05
35,0.03036618681859283,0.030681701544558623,0.0003155147259657938
31,0.02955642379118318,0.030016801733551285,0.0004603779423681051
44,0.03391268599556399,0.03438059402329953,0.0004679080277355391
101,0.04701822868189652,0.047560367995728284,0.0005421393138317632
54,0.0314504684411501,0.03202973263064477,0.0005792641894946729
23,0.03089521080771679,0.03152447039659523,0.0006292595888784391
48,0.031169184001313615,0.031827400943802174,0.0006582169424885591
98,0.04501178109003142,0.04571694954944074,0.0007051684594093222
53,0.032386024430270326,0.033168152408479486,0.00078212797820916
22,0.04718948648084729,0.047985012419093025,0.0007955259382457364
34,0.030373993578202186,0.031207102944236714,0.0008331093660345276
25,0.036246129824773564,0.03714968135979442,0.0009035515350208564
125,0.06194267520136279,0.06292297066491259,0.0009802954635498018
135,0.035905875873701115,0.03693668902637831,0.0010308131526771958
