year,ward_no,ward_name,circle,zone,mean_ndvi,mean_lst_c
2016,KALAVANCHA GRAM PANCHAYATH,,KALAVANCHA GRAMPANCHAYATH,,0.1786770422595058,41.74492579054184
2016,13,HAYATHNAGAR,3-HAYAT NAGAR,L.B.NAGAR ZONE,0.2558136040707922,42.55579616261264
2016,15,VANASTHALIPURAM,4-LB. NAGAR,L.B.NAGAR ZONE,0.1797995081760889,42.295699830959876
2016,26,OLD MALAKPET,6-MALAKPET,CHARMINAR ZONE,0.1799677698382252,40.37457959066747
2016,17,CHAMPAPET,4-LB. NAGAR,L.B.NAGAR ZONE,0.1306879812064007,41.85859541608714
2016,39,SANTOSH NAGAR,7-SANTOSH NAGAR,CHARMINAR ZONE,0.1331543926990546,40.79273258786441
2016,66,LUNGER HOUSE,13-KARWAN,KHAIRATHABAD ZONE,0.2839838585170313,38.58902730917416
2016,112,RAMACHANDRAPURAM,22-RAMACHANDRAPURAM & PATANCHERUVU,SERILINGAMPALLY ZONE,0.195445462789208,39.088451660874334
2016,128,CHINTAL,26-GAJULARAMARAM,KUKATPALLY ZONE,0.236973740199886,39.236261477604295
2016,126,JAGADGIRI GUTTA,26-GAJULARAMARAM,KUKATPALLY ZONE,0.154824130564531,38.86782377528927
2016,129,SURARAM,26-GAJULARAMARAM,KUKATPALLY ZONE,0.22236700954433,39.501381425852216
2016,133,MACHABOLARUM,27-ALWAL,KUKATPALLY ZONE,0.2277392079884153,40.00190094053892
2016,138,MOULA-ALI,28-MALKAJGIRI,SECUNDERABAD ZONE,0.1494532495839142,39.063102442971925
2016,107,MADHAPUR,21-CHANDA NAGAR,SERILINGAMPALLY ZONE,0.2000232191986262,39.40531809389291
2016,OU,,OU,,0.3770673860265722,37.581055660361805
2016,149,BEGUMPET,30-BEGUMPET,SECUNDERABAD ZONE,0.208781897443757,39.0435561924447
2016,135,VENKATAPURAM,27-ALWAL,KUKATPALLY ZONE,0.1807558027801269,39.18710038890501
2016,123,HYDER NAGAR,24-KUKATPALLY,KUKATPALLY ZONE,0.1656632222621127,38.67782547359235
2016,122,VIVEKANANDA NAGAR COLONY,24-KUKATPALLY,KUKATPALLY ZONE,0.1155166514731726,38.26599526346597
2016,113,PATANCHERUVU,22-RAMACHANDRAPURAM & PATANCHERUVU,SERILINGAMPALLY ZONE,0.2662510402584779,40.00092095016929
2016,108,MIYAPUR,21-CHANDA NAGAR,SERILINGAMPALLY ZONE,0.2233584798335584,38.530692526939234
2016,41,KANCHANBAGH,8-CHANDRAYANGUTTA,CHARMINAR ZONE,0.3154163239451084,39.33343962300427
2016,7,CHILUKA NAGAR,2-UPPAL,L.B.NAGAR ZONE,0.2251326577104408,38.88703423016424
2016,9,RAMANTHAPUR,2-UPPAL,L.B.NAGAR ZONE,0.2148884510361056,39.25906994345527
2016,25,MOOSARAMBAGH,6-MALAKPET,CHARMINAR ZONE,0.1473739775833399,40.513933295777996
2016,BANDLA GUDA,,BANDLAGUDA,,0.2268638699037191,40.18646294011399
2016,28,AZAMPURA,6-MALAKPET,CHARMINAR ZONE,0.1281332061717554,40.976944116114126
2016,56,KISHAN BAGH,10-FALAKNUMA,CHARMINAR ZONE,0.165840178472234,40.76283743378907
2016,52,PURANAPOOL,9-CHARMINAR,CHARMINAR ZONE,0.0950620419960423,41.66067782909585
2016,59,MAILARDEVPALLY,11-RAJENDRA NAGAR,CHARMINAR ZONE,0.2359764875966342,40.18385109837864
2016,46,FALAKNUMA,10-FALAKNUMA,CHARMINAR ZONE,0.1414779105135869,41.5464813298824
2016,61,ATTAPUR,11-RAJENDRA NAGAR,CHARMINAR ZONE,0.1956312219531814,38.8540593195716
2016,60,RAJENDRANAGAR,11-RAJENDRA NAGAR,CHARMINAR ZONE,0.2993642400355587,39.28779924164557
2016,49,GANSIBAZAR,9-CHARMINAR,CHARMINAR ZONE,0.1080551909949354,41.52416431135846
2016,33,MOGHALPURA,9-CHARMINAR,CHARMINAR ZONE,0.0954569775560953,41.533286911995795
2016,47,NAWABSAHEBKUNTA,10-FALAKNUMA,CHARMINAR ZONE,0.1032059886200394,41.13854673017787
2016,58,SHASTRIPURAM,11-RAJENDRA NAGAR,CHARMINAR ZONE,0.1765442116889247,40.567146960666086
2016,54,JAHANUMA,10-FALAKNUMA,CHARMINAR ZONE,0.1059876992507355,41.59485545708758
2016,48,SHALIBANDA,9-CHARMINAR,CHARMINAR ZONE,0.1076672422764481,41.21415186757587
2016,53,DOODBOWLI,10-FALAKNUMA,CHARMINAR ZONE,0.129129542918631,41.00429352685707
2016,55,RAMNASTPURA,10-FALAKNUMA,CHARMINAR ZONE,0.2965234949411063,35.592494005132124
2016,43,CHANDRAYANGUTTA,8-CHANDRAYANGUTTA,CHARMINAR ZONE,0.1666087664228691,41.48089494134885
2016,44,UPPUGUDA,8-CHANDRAYANGUTTA,CHARMINAR ZONE,0.1179029283211831,41.85188984439099
2016,35,GOWLIPURA,7-SANTOSH NAGAR,CHARMINAR ZONE,0.1013513663906288,41.28613978305151
2016,30,DABEERPURA,6-MALAKPET,CHARMINAR ZONE,0.1152515280052726,41.44712820224661
2016,32,PATHER GATTI,9-CHARMINAR,CHARMINAR ZONE,0.0954192127202333,42.19060939209473
2016,23,GADDIANNARAM,5-SAROOR NAGAR,L.B.NAGAR ZONE,0.1019334179978477,41.61438436327291
2016,24,SAIDABAD,6-MALAKPET,CHARMINAR ZONE,0.157612071383713,40.109323138804754
2016,27,AKBERBAGH,6-MALAKPET,CHARMINAR ZONE,0.1671785574167705,40.61945880694086
2016,45,JANGAMMET,8-CHANDRAYANGUTTA,CHARMINAR ZONE,0.139750412264372,40.55454742412704
2016,42,BARKAS,8-CHANDRAYANGUTTA,CHARMINAR ZONE,0.2341273640897392,39.28593807143481
2016,57,SULEMAN NAGAR,11-RAJENDRA NAGAR,CHARMINAR ZONE,0.2048911191952362,39.77970738986992
2016,74,AHMED NAGAR,12-MEDHDIPATNAM,KHAIRATHABAD ZONE,0.2151216747931769,38.63202985760846
2016,92,VENKATESHWARA COLONY,18-JUBILEE HILLS,KHAIRATHABAD ZONE,0.2317719723340607,37.262012704597936
2016,89,GANDHINAGAR,15-MUSHEERABAD,SECUNDERABAD ZONE,0.1308666806601121,40.52306775930788
2016,75,RED HILLS,12-MEDHDIPATNAM,KHAIRATHABAD ZONE,0.1581385375762679,39.9960207014901
2016,79,HIMAYATNAGAR,16-AMBERPET,SECUNDERABAD ZONE,0.1108818641154742,41.081558493303866
2016,88,BHOLAKPUR,15-MUSHEERABAD,SECUNDERABAD ZONE,0.1011344558563918,41.855184378004644
2016,86,MUSHEERABAD,15-MUSHEERABAD,SECUNDERABAD ZONE,0.1248460875781512,41.08870631263729
2016,85,ADIKMET,15-MUSHEERABAD,SECUNDERABAD ZONE,0.1355520479398272,41.17918394034218
2016,87,RAMNAGAR,15-MUSHEERABAD,SECUNDERABAD ZONE,0.1445049866589386,41.20721106250102
2016,90,KAVADIGUDA,15-MUSHEERABAD,SECUNDERABAD ZONE,0.2064152976929646,40.47396136059237
2016,93,BANJARA HILLS,18-JUBILEE HILLS,KHAIRATHABAD ZONE,0.1721615698658972,38.097860390581204
2016,91,KHAIRTABAD,17-KHAIRATABAD,KHAIRATHABAD ZONE,0.0690376028094951,34.672035130931675
2016,103,BORABANDA,19-YOUSUFGUDA,SERILINGAMPALLY ZONE,0.0909981599451208,39.737239384734565
2016,97,SOMAJIGUDA,17-KHAIRATABAD,KHAIRATHABAD ZONE,0.1442465396365774,38.89396597498307
2016,98,AMEERPET,17-KHAIRATABAD,KHAIRATHABAD ZONE,0.1636363559362706,37.69262282040746
2016,101,ERRAGADDA,19-YOUSUFGUDA,SERILINGAMPALLY ZONE,0.1412000007197494,38.34561217647455
2016,100,SANATH NAGAR,17-KHAIRATABAD,KHAIRATHABAD ZONE,0.1556641385012612,39.6970351683616
2016,99,VENGALRAO NAGAR,19-YOUSUFGUDA,SERILINGAMPALLY ZONE,0.2000027657142757,37.20534969917051
2016,102,RAHAMATH NAGAR,19-YOUSUFGUDA,SERILINGAMPALLY ZONE,0.1042210147256606,39.61808132712832
2016,6,NACHARAM,1-KAPRA,L.B.NAGAR ZONE,0.2105712155301454,39.31364431993707
2016,84,BAGH AMBERPET,16-AMBERPET,SECUNDERABAD ZONE,0.157754974410863,40.2593192235378
2016,81,NALLAKUNTA,16-AMBERPET,SECUNDERABAD ZONE,0.1268366415031595,40.748051365957224
2016,80,KACHIGUDA(Barkathpura),16-AMBERPET,SECUNDERABAD ZONE,0.1132876880120272,41.193129559050924
2016,82,GOLNAKA,16-AMBERPET,SECUNDERABAD ZONE,0.1811383170890398,40.47471618683871
2016,83,AMBERPET,16-AMBERPET,SECUNDERABAD ZONE,0.2224349038356989,40.16677638599274
2016,51,GOSHA MAHAL,14-GOSHAMAHAL,KHAIRATHABAD ZONE,0.1518810748980749,40.95993008710384
2016,68,TOLICHOWKI,13-KARWAN,KHAIRATHABAD ZONE,0.2728851885931806,37.28391765738994
2016,67,GOLCONDA,13-KARWAN,KHAIRATHABAD ZONE,0.2055927962686304,38.93312237001461
2016,77,JAMBAGH(Nampally),14-GOSHAMAHAL,KHAIRATHABAD ZONE,0.111383466748386,41.504578792402825
2016,63,MANGALHAT,14-GOSHAMAHAL,KHAIRATHABAD ZONE,0.1539615721675581,40.642775162794884
2016,71,GUDIMALKAPUR,12-MEDHDIPATNAM,KHAIRATHABAD ZONE,0.1708205715351071,39.700468459337515
2016,70,MEHDIPATNAM,12-MEDHDIPATNAM,KHAIRATHABAD ZONE,0.1279497388365258,38.62694574343841
2016,76,MALLEPALLY,12-MEDHDIPATNAM,KHAIRATHABAD ZONE,0.0970300343067283,40.29910390840472
2016,62,ZIAGUDA,13-KARWAN,KHAIRATHABAD ZONE,0.1459796108879067,40.25163438336359
2016,72,ASIF NAGAR,12-MEDHDIPATNAM,KHAIRATHABAD ZONE,0.103216654807293,40.57787673425051
2016,73,VIJAYANAGAR COLONY,12-MEDHDIPATNAM,KHAIRATHABAD ZONE,0.134644323270715,39.39206359932627
2016,5,MALLAPUR,1-KAPRA,L.B.NAGAR ZONE,0.2344703575798258,39.64137575952113
2016,3,CHERLAPALLY,1-KAPRA,L.B.NAGAR ZONE,0.2399044460270969,39.62746622689791
2016,96,YOUSUFGUDA,19-YOUSUFGUDA,SERILINGAMPALLY ZONE,0.1759120361459696,37.551859996991794
2016,95,JUBILEE HILLS,18-JUBILEE HILLS,KHAIRATHABAD ZONE,0.2253973090339855,37.44709359297619
2016,50,BEGUM BAZAR,14-GOSHAMAHAL,KHAIRATHABAD ZONE,0.1138616018654204,40.97912957656895
2016,78,GUNFOUNDRY(Abids),14-GOSHAMAHAL,KHAIRATHABAD ZONE,0.1489853304732006,40.59723629817704
2016,65,KARWAN,13-KARWAN,KHAIRATHABAD ZONE,0.1556425301458179,40.38176127465928
2016,2,DR.A.S.RAO NAGAR,1-KAPRA,L.B.NAGAR ZONE,0.2126702664356944,38.12963719568686
2016,4,MEERPET H.B.COLONY,1-KAPRA,L.B.NAGAR ZONE,0.2264096251501811,39.07925288447283
2016,1,KAPRA,1-KAPRA,L.B.NAGAR ZONE,0.2300082400443036,37.75241741657729
2016,94,SHAIKPET,18-JUBILEE HILLS,KHAIRATHABAD ZONE,0.1645979204015964,38.955683411173574
2016,64,DATTATHREYA NAGAR,14-GOSHAMAHAL,KHAIRATHABAD ZONE,0.1024269530372081,42.043618074437916
2016,69,NANALNAGAR,13-KARWAN,KHAIRATHABAD ZONE,0.2501032684645,38.658389173580154
2017,127,RANGAREDDY NAGAR,25-QUTUBULLAPUR,KUKATPALLY ZONE,0.1669576143212462,38.89437362039109
2017,119,OLD BOWENPALLY,24-KUKATPALLY,KUKATPALLY ZONE,0.1784822938659855,37.40558565734941
2017,145,SEETHAPHALMANDI,29-SECUNDERABAD,SECUNDERABAD ZONE,0.0986184923535661,38.56249491497749
2017,146,BOUDHA NAGAR,29-SECUNDERABAD,SECUNDERABAD ZONE,0.0874055139398902,38.84366393666352
2017,147,BANSILALPET,30-BEGUMPET,SECUNDERABAD ZONE,0.1510649531247433,38.563323923881505
